"Phenotype","fdr_threshold","Contrast","Basic_N","Lifestyle_N","AD_N","Path_N"
"caa","0.05","1",0,0,0,0
"caa","0.05","2",0,2,0,0
"caa","0.05","3",45,2,1,1
"caa","0.10","1",0,0,0,0
"caa","0.10","2",8,2,0,1
"caa","0.10","3",247,18,28,26
"art","0.05","1",0,0,0,0
"art","0.05","2",3,0,1,0
"art","0.05","3",54,107,98,1
"art","0.10","1",3,0,0,0
"art","0.10","2",9,1,1,0
"art","0.10","3",137,364,298,42
"cvda","0.05","1",1,0,0,0
"cvda","0.05","2",26,47,55,0
"cvda","0.05","3",149,29,46,28
"cvda","0.10","1",304,129,132,2
"cvda","0.10","2",461,490,494,155
"cvda","0.10","3",661,168,209,119
"gct","0.05","1",0,0,0,0
"gct","0.10","1",0,0,0,0
"mct","0.05","1",0,0,0,0
"mct","0.10","1",0,0,0,1
